word,PMI_Pos,PMI_Neg,PMI_Diff,freq_total,freq_pos,freq_neg
basakholelwa,0.0,0.0,0.0,1,0,0
izindikimba,0.0,0.0,0.0,1,0,0
ngokwazi,0.0,0.0,0.0,1,0,0
ngabaqashi,0.0,0.0,0.0,1,0,0
baphathwe,0.0,0.0,0.0,1,0,0
ubutha,0.0,0.0,0.0,1,0,0
singagcini,0.0,0.0,0.0,1,0,0
phinde,0.0,0.0,0.0,1,0,0
izifihla,0.0,0.0,0.0,1,0,0
yayihamba,0.0,0.0,0.0,1,0,0
abazoniphelezela,0.0,0.0,0.0,1,0,0
nizikhethele,0.0,0.0,0.0,1,0,0
nivunyelwe,0.0,0.0,0.0,1,0,0
zempendulo,0.0,0.0,0.0,1,0,0
unika,0.0,0.0,0.0,1,0,0
ongusikhova,0.0,0.0,0.0,1,0,0
yomlingiswa,0.0,0.0,0.0,1,0,0
enkulumweni,0.0,0.0,0.0,1,0,0
lamalungu,0.0,0.0,0.0,1,0,0
nokwenzakala,0.0,0.0,0.0,1,0,0
saga,0.0,0.0,0.0,1,0,0
ukuqanjwa,0.0,0.0,0.0,1,0,0
uchaza,0.0,0.0,0.0,1,0,0
elidwetshelwe,0.0,0.0,0.0,1,0,0
ngokusebenzisa,0.0,0.0,0.0,1,0,0
ungase,0.0,0.0,0.0,1,0,0
ongakwenza,0.0,0.0,0.0,1,0,0
kuqala,0.0,0.0,0.0,1,0,0
ngibabike,0.0,0.0,0.0,1,0,0
abangithume,0.0,0.0,0.0,1,0,0
ezimayelana,0.0,0.0,0.0,1,0,0
izikhangisi,0.0,0.0,0.0,1,0,0
bebuka,0.0,0.0,0.0,1,0,0
belalele,0.0,0.0,0.0,1,0,0
nelinye,0.0,0.0,0.0,1,0,0
olumayelana,0.0,0.0,0.0,1,0,0
usuyindoda,0.0,0.0,0.0,1,0,0
okwesibili,0.0,0.0,0.0,1,0,0
mntakwethu,0.0,0.0,0.0,1,0,0
nomvula,0.0,0.0,0.0,1,0,0
yayizozwa,0.0,0.0,0.0,1,0,0
zicebane,0.0,0.0,0.0,1,0,0
ephepheni,0.0,0.0,0.0,1,0,0
sona,0.0,0.0,0.0,1,0,0
ezizothathelwa,0.0,0.0,0.0,1,0,0
nesinyathelo,0.0,0.0,0.0,1,0,0
mingcele,0.0,0.0,0.0,1,0,0
zeqa,0.0,0.0,0.0,1,0,0
zazi,0.0,0.0,0.0,1,0,0
zingahlale,0.0,0.0,0.0,1,0,0
eseholidini,0.0,0.0,0.0,1,0,0
olungelona,0.0,0.0,0.0,1,0,0
zimshayela,0.0,0.0,0.0,1,0,0
kuyahlola,0.0,0.0,0.0,1,0,0
okungapheli,0.0,0.0,0.0,1,0,0
udaba,0.0,0.0,0.0,1,0,0
babembuza,0.0,0.0,0.0,1,0,0
eqenjini,0.0,0.0,0.0,1,0,0
umdlali,0.0,0.0,0.0,1,0,0
inkontileka,0.0,0.0,0.0,1,0,0
kuthola,0.0,0.0,0.0,1,0,0
usanda,0.0,0.0,0.0,1,0,0
umama,0.0,0.0,0.0,1,0,0
zibhaliwe,0.0,0.0,0.0,1,0,0
zibhale,0.0,0.0,0.0,1,0,0
